seg_id2,STAID,HUC02,STATE,DRAIN_SQKM,LAT_GAGE,LNG_GAGE,STANAME
1000674,1144000,1,VT,1790,43.714236,-72.418149,WHITE RIVER AT WEST HARTFORD VT
2001410,1543500,2,PA,1778,41.317285,-78.10306,Sinnemahoning Creek at Sinnemahoning PA
3005615,2315500,3,FL,6136,30.325781,-82.738183,SUWANNEE RIVER AT WHITE SPRINGS FL
4000863,4056500,4,MI,2946,46.030529,-86.161249,MANISTIQUE RIVER NEAR MANISTIQUE MI
5001444,3164000,5,VA,2953,36.64735,-80.978969,NEW RIVER NEAR GALAX VA
6000150,3604000,6,TN,1163,35.495906,-87.832804,"BUFFALO RIVER NEAR FLAT WOODS, TN"
7002501,5412500,7,IA,3858,42.739988,-91.261799,Turkey River at Garber IA
8001329,7292500,8,MS,2073,31.324722,-91.109444,HOMOCHITTO RIVER AT ROSETTA MS
9000661,5057000,9,ND,7582,47.432771,-98.027595,SHEYENNE RIVER NR COOPERSTOWN ND
10101805,6452000,10U,SD,25791,43.748327,-99.556495,WHITE R NEAR OACOMA SD
11002524,7301500,11,OK,6885,35.168108,-99.507313,North Fork Red River near Carter OK
12000237,8041500,12,TX,2228,30.397986,-94.263521,Village Ck nr Kountze TX
13000425,8324000,13,NM,1208,35.661694,-106.743369,JEMEZ RIVER NEAR JEMEZ NM
14001858,9210500,14,WY,398,42.096053,-110.416556,"FONTENELLE C NR HERSCHLER RANCH, NR FONTENELLE WY"
15000031,9430500,15,NM,4805,33.061179,-108.537275,GILA RIVER NEAR GILA NM
16000002,10109001,16,UT,556,41.744375,-111.784387,COM F LOGAN R AB ST D AND LO HP AND SM C N LO UT
17001781,13337000,17,ID,3053,46.150833,-115.587222,LOCHSA RIVER NR LOWELL ID
18001060,11522500,18,CA,1943,41.377627,-123.477558,SALMON R A SOMES BAR CA
